全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
352039,FF2099000001,山口県山口市,中央消防署,チュウオウショウボウショ,,352039,73000,山口県山口市亀山町2-1,山口県,山口市,亀山町,2ｰ1,,34.178517,131.473805,,,１階救急隊事務室,(083)933-0119,,,,,,,,月火水木金土日,8:30,8:30,休日なし　24時間対応,有,,,,,,,
352039,FF2099000002,山口県山口市,中央消防署大内出張所,チュウオウショウボウショオオウチシュッチョウショ,,352039,34000,山口県山口市大内長野606,山口県,山口市,大内長野,606,,34.15635,131.51797,,,１階事務室,(083)941-0119,,,,,,,,月火水木金土日,8:30,8:30,休日なし　24時間対応,有,,,,,,,
352039,FF2099000003,山口県山口市,中央消防署徳地出張所,チュウオウショウボウショトクヂシュッチョウショ,,352039,120000,山口県山口市徳地堀2304-1,山口県,山口市,徳地堀,2304ｰ1,,34.199227,131.665431,,,１階事務室,(0835)53-0119,,,,,,,,月火水木金土日,8:30,8:30,休日なし　24時間対応,有,,,,,,,
352039,FF2099000004,山口県山口市,阿東消防署,アトウショウボウショ,,352039,22000,山口県山口市阿東徳佐中3170-3,山口県,山口市,阿東徳佐中,3170ｰ3,,34.393551,131.719436,,,１階事務室,(083)957-0119,,,,,,,,月火水木金土日,8:30,8:30,休日なし　24時間対応,有,,,,,,,
352039,FF2099000005,山口県山口市,南消防署,ミナミショウボウショ,,352039,59000,山口県山口市小郡前田町1-16,山口県,山口市,小郡前田町,1ｰ16,,34.084929,131.396681,,,１階事務室,(083)974-0119,,,,,,,,月火水木金土日,8:30,8:30,休日なし　24時間対応,有,,,,,,,
352039,FF2099000006,山口県山口市,南消防署阿知須出張所,ミナミショウボウショアジスシュッチョウショ,,352039,10000,山口県山口市阿知須943-2,山口県,山口市,阿知須,943ｰ2,,34.024196,131.354277,,,１階事務室,(0836)66-0119,,,,,,,,月火水木金土日,8:30,8:30,休日なし　24時間対応,有,,,,,,,
352039,FF2099000007,山口県山口市,南消防署秋穂出張所,ミナミショウボウショアイオシュッチョウショ,,352039,2000,山口県山口市秋穂東6898-2,山口県,山口市,秋穂東,6898ｰ2,,34.020972,131.432404,,,１階事務室,(083)984-0119,,,,,,,,月火水木金土日,8:30,8:30,休日なし　24時間対応,有,,,,,,,
352039,FF2099000008,山口県山口市,山口市歴史民俗資料館,ヤマグチシレキシミンゾクシリョウカン,,352039,68000,山口県山口市春日町5-1,山口県,山口市,春日町,5ｰ1,,34.182805,131.47024,,,１階玄関側展示室入口,(083)924-7001,,,,,,,,火水木金土日,9:00,17:00,月曜日（祝日の場合は火曜日以降の平日）、年末年始は休館のため利用不可,有,https://yrekimin.jp/,,,,,,
352039,FF2099000009,山口県山口市,鋳銭司郷土館,スゼンジキョウドカン,,352039,96000,山口県山口市鋳銭司11422,山口県,山口市,鋳銭司,11422,,34.08271,131.46211,,,１階事務室,(083)986-2368,,,,,,,,火水木金土日,9:00,17:00,月曜日（祝日の場合は火曜日以降の平日）、年末年始は休館のため利用不可,有,https://www.city.yamaguchi.lg.jp/soshiki/141/,,,,,,
352039,FF2099000010,山口県山口市,山口市小郡文化資料館,ヤマグチシオゴオリブンカシリョウカン,,352039,51000,山口県山口市小郡下郷609-3,山口県,山口市,小郡下郷,609ｰ3,,34.102478,131.393643,,,１階収蔵庫横,(083)973-7071,,,,,,,,火水木金土日,9:00,17:00,月曜日（祝日の場合は火曜日以降の平日）、年末年始は休館のため利用不可,有,http://cmogori.ec-net.jp/,,,,,,
